"industry","exp_val"
"C01T05AGR",1.773
"C10T14MIN",38.897
"C15T16FOD",3.391
"C17T19TEX",37.875
"C20WOD",2.705
"C21T22PAP",3.577
"C23PET",0.455
"C24CHM",14.011
"C25RBP",6.354
"C26NMM",10.073
"C27MET",2.561
"C28FBM",18.002
"C29MEQ",6.399
"C30T33XCEQ",2.179
"C31ELQ",5.413
"C34MTR",0.313
"C35TRQ",1.598
"C36T37OTM",6.866
"C40T41EGW",0
"C45CON",0
"C50T52WRT",0
"C55HTR",0
"C60T63TRN",0
"C64PTL",0
"C65T67FIN",0
"C70REA",0
"C71RMQ",0
"C72ITS",0
"C73T74OBZ",0
"C75GOV",0
"C80EDU",0
"C85HTH",0
"C90T93OTS",0
"C95PVH",0
