"","...1","Agriculture, Forestry and Fishing","Mining","Manufacturing","Electricity, Gas, Water and Waste Services","Construction","Wholesale Trade","Retail Trade","Accommodation and Food Services","Transport, Postal and Warehousing","Information Media and Telecommunications","Financial and Insurance Services","Rental, Hiring and Real Estate Services","Professional, Scientific and Technical Services","Administrative and Support Services","Public Administration and Safety","Education and Training","Health Care and Social Assistance","Arts and Recreation Services","Other Services","Total stated...21","Not Elsewhere Included","Total...23","Work at home","Proportions (worked today)(19)(20)...25","Did not go to work today","Proportions (worked today)(19)(20)...27","Drive a private car, truck or van","Proportions (worked today)(19)(20)...29","Drive a company car, truck or van","Proportions (worked today)(19)(20)...31","Passenger in a car, truck, van or company bus","Proportions (worked today)(19)(20)...33","Public bus","Proportions (worked today)(19)(20)...35","Train","Proportions (worked today)(19)(20)...37","Bicycle","Proportions (worked today)(19)(20)...39","Walk or jog","Proportions (worked today)(19)(20)...41","Ferry","Proportions (worked today)(19)(20)...43","Other","Proportions (worked today)(19)(20)...45","Total stated...46","Proportions (worked today)(19)(20)...47","Not elsewhere included...48","Total...49","No activities","Household work, cooking, repairs, gardening, etc, for own household","Looking after a child who is a member of own household","Looking after a member of own household who is ill or has a disability","Looking after a child who does not live in own household","Helping someone who is ill or has a disability who does not live in own household","Other helping or voluntary work for or through any organisation, group or marae","Total stated...57","Not elsewhere included...58","Total...59"
"43","Remutaka","210","33","2862","405","4152","1533","3444","2058","1647","666","1350","555","3582","1782","5001","2730","3765","603","1551","37929","..C","37929","2823",7.4,"..C",0,"20601",54.3,"4545",12,"1827",4.8,"1362",3.6,"4737",12.5,"402",1.1,"1146",3,"..C",0,"483",1.3,"37929",100,"..C","37929","5523","42900","15687","4170","7887","4365","7287","49662","9912","59574"
"44","Rongotai","252","45","1263","282","2034","1005","2769","3030","1500","2226","1488","585","5697","1695","5148","3342","4290","1305","1461","39414","..C","39414","3150",8,"..C",0,"15264",38.7,"2097",5.3,"1584",4,"9186",23.3,"111",0.3,"2415",6.1,"4341",11,"12",0,"1257",3.2,"39414",100,"..C","39414","4542","42177","13284","2943","6162","3819","8259","47862","7410","55275"
"45","Rotorua","4434","39","4407","258","3207","1473","3870","4020","1839","207","558","786","2835","2343","1965","3585","4557","1197","1800","43374","..C","43374","5544",12.8,"..C",0,"26913",62,"5451",12.6,"2280",5.3,"513",1.2,"6",0,"624",1.4,"1554",3.6,"..C",0,"486",1.1,"43374",100,"..C","43374","5877","44463","16083","4530","8289","4707","8421","51723","15378","67101"
"46","Selwyn","3588","90","4221","267","4350","2280","2787","1473","1761","306","855","678","3351","1446","2475","2913","2475","561","1431","37308","..C","37308","5772",15.5,"..C",0,"22329",59.9,"5835",15.6,"897",2.4,"366",1,"..C",0,"522",1.4,"1086",2.9,"..C",0,"498",1.3,"37308",100,"..C","37308","4113","40350","15798","2922","6972","3291","6588","45315","5343","50655"
"47","Southland","6960","183","2427","222","4683","1365","4005","5712","2088","291","591","1137","2652","2094","1068","2091","2034","1314","1365","42276","..C","42276","8406",19.9,"..C",0,"20292",48,"5784",13.7,"1512",3.6,"858",2,"9",0,"939",2.2,"3792",9,"57",0.1,"627",1.5,"42276",100,"..C","42276","5250","39867","12405","2439","6195","3165","8151","46236","9615","55851"
"48","Taieri","2595","228","3840","252","3429","1563","3396","1947","1599","414","573","633","2322","1140","1830","3516","4317","555","1470","35616","..C","35616","4461",12.5,"..C",0,"21630",60.7,"4530",12.7,"1626",4.6,"825",2.3,"6",0,"558",1.6,"1548",4.3,"6",0,"426",1.2,"35616",100,"..C","35616","5583","42066","13614","3582","7716","4542","7935","48924","7470","56397"
"49","Takanini","345","45","5100","291","3378","2745","3780","2217","3234","546","1053","750","2994","2067","1677","2664","3003","432","1425","37743","..C","37743","2367",6.3,"..C",0,"26337",69.8,"4011",10.6,"1992",5.3,"687",1.8,"1515",4,"84",0.2,"438",1.2,"6",0,"306",0.8,"37743",100,"..C","37743","6294","35883","14658","3624","4551","2436","4716","43455","13974","57429"
"50","Tamaki","171","15","2442","213","2205","2427","2379","1689","1194","975","1875","1209","6600","1638","1137","3162","3345","756","1014","34440","..C","34440","3999",11.6,"..C",0,"19785",57.4,"3462",10.1,"1086",3.2,"2379",6.9,"1695",4.9,"741",2.2,"726",2.1,"15",0,"549",1.6,"34440",100,"..C","34440","4926","39051","14037","2661","5652","3414","6492","45075","7062","52134"
"51","Taranaki-King Country","7710","315","4260","396","3891","1422","3063","1770","1401","249","561","630","3090","1158","1680","3000","3318","633","1641","40179","..C","40179","8739",21.8,"..C",0,"22293",55.5,"5253",13.1,"1284",3.2,"78",0.2,"9",0,"294",0.7,"1296",3.2,"..C",0,"927",2.3,"40179",100,"..C","40179","4746","43074","15624","3879","8319","4356","8247","49011","9849","58863"
"52","Taupo","4716","231","4386","501","3660","1356","3795","3336","1722","279","552","942","2907","1440","1731","3255","3183","1065","1719","40770","..C","40770","6378",15.6,"..C",0,"23997",58.9,"5649",13.9,"1719",4.2,"66",0.2,"18",0,"528",1.3,"1593",3.9,"9",0,"810",2,"40770",100,"..C","40770","5676","45519","15474","4287","8265","4632","8691","52461","11973","64434"
