"industry","exp_val"
"01T02",13.646897
"03",3.619913
"05T06",0
"07T08",7.905653
"09",2.945308
"10T12",57.745148
"13T15",310.146505
"16",21.374688
"17T18",10.994154
"19",1.782674
"20",393.604237
"21",23.406214
"22",298.826246
"23",156.703008
"24",151.386789
"25",295.609851
"26",378.231972
"27",304.99099
"28",113.824399
"29",9.009269
"30",19.954832
"31T33",139.126556
"35",0
"36T39",0
"41T43",0
"45T47",181.057125
"49",74.640311
"50",9.623431
"51",14.421988
"52",18.343153
"53",0.004356
"55T56",0
"58T60",13.284913
"61",1.897445
"62T63",71.033494
"64T66",24.199187
"68",6.10636
"69T75",56.58668
"77T82",27.449702
"84",0
"85",0
"86T88",0
"90T93",2.454087
"94T96",1.742777
"97T98",0
