"industry","exp_val"
"01T02",5.484009
"03",0.375779
"05T06",0.017566
"07T08",14.678546
"09",0.006356
"10T12",27.104956
"13T15",150.886785
"16",8.054145
"17T18",1.86741
"19",1.586842
"20",64.461632
"21",0.775429
"22",30.089807
"23",128.788488
"24",26.138708
"25",125.490905
"26",138.832266
"27",51.363794
"28",33.201749
"29",1.221597
"30",4.139908
"31T33",13.836828
"35",0
"36T39",0
"41T43",0
"45T47",43.195334
"49",34.665668
"50",4.418865
"51",16.035874
"52",6.754643
"53",0.000552
"55T56",0
"58T60",1.918832
"61",0.231724
"62T63",4.489331
"64T66",1.44538
"68",0.23528
"69T75",6.762108
"77T82",4.928456
"84",0
"85",0
"86T88",0
"90T93",0.014905
"94T96",0.727739
"97T98",0
