Percentage of Votes for Registered Parties,,,,,,,,,,,,,,,,,
,ACT NEW ZEALAND,,GREEN PARTY,,LABOUR PARTY,,MĀORI PARTY,,NATIONAL PARTY,,NEW ZEALAND FIRST PARTY,,UNITED FUTURE,,OTHER,,TOTALS
Electoral District,Votes,Percentage,Votes,Percentage,Votes,Percentage,Votes,Percentage,Votes,Percentage,Votes,Percentage,Votes,Percentage,Votes,Percentage,Votes
Rotorua,142,0.42,2289,6.75,7181,21.17,486,1.43,17660,52.05,4139,12.2,72,0.21,1958,5.77,33927
Selwyn,139,0.39,3910,10.9,4654,12.97,111,0.31,22809,63.58,2494,6.95,87,0.24,1671,4.66,35875
Tāmaki,504,1.37,3232,8.81,5431,14.81,175,0.48,24091,65.7,1619,4.42,69,0.19,1549,4.22,36670
Taranaki-King Country,120,0.36,2422,7.21,4483,13.35,185,0.55,20637,61.46,3182,9.48,85,0.25,2465,7.34,33579
Taupō,91,0.25,2224,6.14,6752,18.63,298,0.82,20703,57.13,3730,10.29,94,0.26,2349,6.48,36241
Tauranga,134,0.36,2645,7.12,5361,14.43,222,0.6,20728,55.81,5387,14.5,94,0.25,2571,6.92,37142
Te Atatū,450,1.36,2684,8.11,11603,35.04,142,0.43,13614,41.12,2784,8.41,52,0.16,1783,5.38,33112
Tukituki,144,0.4,3078,8.57,8205,22.84,185,0.52,18680,52,2731,7.6,59,0.16,2840,7.91,35922
Upper Harbour,450,1.35,2329,7,7803,23.45,119,0.36,18122,54.46,2311,6.95,69,0.21,2070,6.22,33273
Waikato,191,0.53,2075,5.78,5303,14.78,196,0.55,21598,60.21,3870,10.79,78,0.22,2562,7.14,35873
Waimakariri,80,0.22,3198,8.87,6835,18.96,95,0.26,20734,57.51,3054,8.47,66,0.18,1992,5.53,36054
Wairarapa,124,0.33,3134,8.38,7712,20.62,209,0.56,19634,52.48,4393,11.74,59,0.16,2144,5.73,37409
Waitaki,106,0.27,4386,11.06,7162,18.07,104,0.26,22656,57.16,2763,6.97,94,0.24,2368,5.97,39639
Wellington Central,274,0.7,11545,29.58,9306,23.84,300,0.77,14689,37.64,1399,3.58,117,0.3,1400,3.59,39030
West Coast-Tasman,94,0.26,4658,12.99,8438,23.53,102,0.28,16058,44.78,3123,8.71,71,0.2,3317,9.25,35861
Whanganui,167,0.47,2546,7.21,9012,25.53,205,0.58,16687,47.28,4221,11.96,75,0.21,2382,6.75,35295
Whangarei,205,0.56,3611,9.8,6575,17.85,196,0.53,18503,50.24,4936,13.4,93,0.25,2713,7.37,36832
Wigram,317,1.04,3919,12.82,8764,28.67,145,0.47,13117,42.91,2618,8.56,86,0.28,1601,5.24,30567
General Electorate Totals,16467,0.73,240694,10.67,543012,24.07,10885,0.48,1119663,49.62,188926,8.37,5188,0.23,131528,5.83,2256363
Hauraki-Waikato,43,0.21,2043,9.77,9724,46.5,2504,11.97,1583,7.57,2796,13.37,14,0.07,2207,10.55,20914
Ikaroa-Rāwhiti,24,0.11,2275,10.43,10489,48.09,2699,12.37,1189,5.45,2490,11.42,6,0.03,2639,12.1,21811
Tāmaki Makaurau,39,0.19,2438,11.81,8432,40.84,2651,12.84,1575,7.63,2914,14.12,16,0.08,2579,12.49,20644
Te Tai Hauāuru,27,0.13,2442,11.93,8642,42.23,3611,17.64,1456,7.11,2412,11.79,15,0.07,1860,9.09,20465
Te Tai Tokerau,37,0.16,2278,10.06,8034,35.47,2300,10.15,1938,8.56,3296,14.55,18,0.08,4750,20.97,22651
Te Tai Tonga,35,0.17,3402,16.51,7607,36.92,2319,11.25,2977,14.45,2657,12.89,18,0.09,1590,7.72,20605
Waiariki,17,0.08,1787,8.06,8595,38.77,4880,22.01,1120,5.05,2809,12.67,11,0.05,2950,13.31,22169
Maori Electorate Totals,222,0.15,16665,11.17,61523,41.22,20964,14.05,11838,7.93,19374,12.98,98,0.07,18575,12.44,149259
Combined Totals,16689,0.69,257359,10.7,604535,25.13,31849,1.32,1131501,47.04,208300,8.66,5286,0.22,150103,6.24,2405622
