"industry","exp_val"
"01T02",19.886628
"03",9.18414
"05T06",19.023981
"07T08",10.815259
"09",2.236391
"10T12",66.485005
"13T15",272.276297
"16",24.515872
"17T18",8.040115
"19",12.578209
"20",378.721047
"21",33.796072
"22",270.830735
"23",115.812138
"24",165.377982
"25",338.679209
"26",388.75667
"27",292.453978
"28",119.157692
"29",10.365736
"30",20.489311
"31T33",102.776045
"35",0
"36T39",0.000144
"41T43",0
"45T47",150.031885
"49",77.667937
"50",5.337344
"51",9.642923
"52",12.557248
"53",0.002314
"55T56",0
"58T60",14.154921
"61",1.464652
"62T63",58.9704
"64T66",27.523388
"68",3.998429
"69T75",53.108933
"77T82",25.572741
"84",0
"85",0
"86T88",0
"90T93",1.542891
"94T96",0
"97T98",0
