"industry","exp_val"
"C01T05AGR",2.674
"C10T14MIN",4.702
"C15T16FOD",2.614
"C17T19TEX",42.92
"C20WOD",2.194
"C21T22PAP",1.885
"C23PET",0.293
"C24CHM",17.839
"C25RBP",5.575
"C26NMM",5.185
"C27MET",2.164
"C28FBM",9.006
"C29MEQ",6.001
"C30T33XCEQ",7.536
"C31ELQ",2.218
"C34MTR",0.437
"C35TRQ",1.099
"C36T37OTM",5.567
"C40T41EGW",0
"C45CON",0
"C50T52WRT",0
"C55HTR",0
"C60T63TRN",0
"C64PTL",0
"C65T67FIN",0
"C70REA",0
"C71RMQ",0
"C72ITS",0
"C73T74OBZ",0
"C75GOV",0
"C80EDU",0
"C85HTH",0
"C90T93OTS",0
"C95PVH",0
