"industry","exp_val"
"01T02",8.287069
"03",1.681487
"05T06",0.012662
"07T08",8.780929
"09",0.108214
"10T12",39.501916
"13T15",202.071096
"16",17.472931
"17T18",3.1794
"19",1.618088
"20",125.113514
"21",4.873809
"22",111.316981
"23",67.589643
"24",74.997009
"25",153.836416
"26",208.44425
"27",106.247446
"28",59.224696
"29",2.831726
"30",6.024864
"31T33",23.528003
"35",0
"36T39",0
"41T43",0
"45T47",64.84028
"49",34.554
"50",6.037726
"51",22.839537
"52",9.030035
"53",0.001478
"55T56",0
"58T60",3.309165
"61",0.537124
"62T63",7.301374
"64T66",2.173716
"68",0.515561
"69T75",11.348456
"77T82",9.886656
"84",0
"85",0
"86T88",0
"90T93",0.121444
"94T96",0.156118
"97T98",0
