"industry","exp_val"
"01T02",13.505918
"03",2.652042
"05T06",0.016413
"07T08",8.256333
"09",0.897175
"10T12",47.552308
"13T15",274.291775
"16",21.291979
"17T18",5.121902
"19",5.762615
"20",251.725757
"21",18.205931
"22",199.077003
"23",87.195365
"24",85.425707
"25",188.86983
"26",326.718615
"27",163.982989
"28",104.065684
"29",7.969533
"30",19.056812
"31T33",81.100688
"35",0
"36T39",0.089437
"41T43",0
"45T47",110.227186
"49",50.088928
"50",5.971622
"51",8.977199
"52",11.265099
"53",0.003682
"55T56",0
"58T60",19.260002
"61",3.029643
"62T63",59.891308
"64T66",24.824821
"68",3.072087
"69T75",62.081523
"77T82",15.719323
"84",0
"85",0
"86T88",0
"90T93",2.618883
"94T96",1.360844
"97T98",0
